epoch,train_loss,train_ce,train_dice_loss,loss,mean_fg_dice,mean_fg_iou,dice_bg,dice_whole,dice_damaged,iou_bg,iou_whole,iou_damaged
1,0.6270882453744775,0.6270882453744775,0.7400331814952245,1.023861126466231,0.47470673512328754,0.44106595556844364,0.13044073602158826,0.7840909090909091,0.16532256115566601,0.08187944340578444,0.7840909090909091,0.0980410020459782
2,0.5358117213904463,0.5358117213904463,0.7255987714457985,0.8776127560572191,0.47921973263675516,0.44381387142295187,0.19033413211053068,0.7840909090909091,0.17434855618260123,0.12268877537413077,0.7840909090909091,0.10353683375499466
3,0.5131936908162982,0.5131936908162982,0.716439087659318,0.716250555081801,0.4929968433772752,0.4548985512906631,0.6600261682813818,0.7840909090909091,0.20190277766364123,0.5534722710197623,0.7840909090909091,0.125706193490417
4,0.5059506244316007,0.5059506244316007,0.7095951957023696,0.7024351764809001,0.5247605595399033,0.47795784202488983,0.6865730245005001,0.7840909090909091,0.2654302099888975,0.5828862806612795,0.7840909090909091,0.17182477495887064
5,0.5001846819819994,0.5001846819819994,0.7047357955910513,0.7011892958120867,0.5228221382607113,0.4730102541771802,0.7576189853928306,0.7727272781458768,0.27291699837554584,0.6429838754914023,0.7727272781458768,0.1732932302084836
6,0.47858936211328634,0.47858936211328634,0.6941683724621274,0.6691553890705109,0.4066415860791485,0.35053987952285,0.7908083850687201,0.48955671859391325,0.3237264535643838,0.7093370909040625,0.4891041405261337,0.21197561851956628
7,0.4654305119388151,0.4654305119388151,0.6838540732860565,0.6462783840569583,0.3827308725872585,0.3314781369236615,0.6900391687046398,0.49493519514164125,0.27052655003287573,0.565591730854728,0.4921244777268095,0.17083179612051358
8,0.44711916696354254,0.44711916696354254,0.6738414869008474,0.6282902549613606,0.2814506868758777,0.2215340313534452,0.7556685317646373,0.23449465172089906,0.3284067220308564,0.6610959443179044,0.2315462231532308,0.2115218395536596
9,0.43332323022433467,0.43332323022433467,0.653962141433299,0.6437721062790264,0.3730405703703722,0.3125372973348244,0.7925418357957493,0.41078789921821546,0.33529324152252893,0.724643895571882,0.4049862147040617,0.22008837996558708
10,0.43669930218860803,0.43669930218860803,0.6527157323249918,0.6159200370311737,0.3896784207271677,0.33128464790603507,0.6604327234354886,0.48954420345332683,0.2898126380010085,0.5552701821381395,0.4797696893127233,0.18279960649934682
11,0.3995076497362939,0.3995076497362939,0.6234093024241214,0.6067179387265985,0.39820410137657414,0.3376229981553148,0.7588018395683982,0.47850957165726205,0.31789863109588623,0.6701014129952951,0.4689461433921348,0.20629985291849484
12,0.37511667086193895,0.37511667086193895,0.600203633505777,0.6596888222477653,0.3354905507188629,0.2761326407040046,0.8190038122914054,0.3798925867304206,0.29108851470730523,0.7343607382340864,0.36445548067885364,0.18780980072915554
13,0.36509081958145495,0.36509081958145495,0.5826620374689039,0.6039206927472894,0.3441324758806657,0.28621929882662894,0.7490227818489075,0.37512072985943773,0.3131442219018936,0.6506696356968447,0.37020908903113176,0.20222950862212616
14,0.3428157568964737,0.3428157568964737,0.5650253382739642,0.6177741126580671,0.3858034610748291,0.32477646735920146,0.7765187837860801,0.4652794836597009,0.3063274384899573,0.6838113977150484,0.452665459533984,0.19688747518441893
15,0.345615923355352,0.345615923355352,0.5556807662082823,0.7338026897473768,0.2530681292856449,0.19737177910196832,0.7785192890600725,0.23624342512166602,0.2698928334496238,0.693691145290028,0.22375126032155312,0.17099229788238351
16,0.3319315613796379,0.3319315613796379,0.5380242391927352,0.7094049155712128,0.40338898060674017,0.34228253017433663,0.8217771324244413,0.4846604076976126,0.32211755351586774,0.735008646141399,0.4730512945150787,0.21151376583359457
